# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
2.7644e-08,7.7391e-07,5.3400e+02
2.7569e-08,7.7518e-07,5.3500e+02
2.7494e-08,7.7646e-07,5.3600e+02
2.7418e-08,7.7776e-07,5.3700e+02
2.7344e-08,7.7908e-07,5.3800e+02
2.7269e-08,7.8041e-07,5.3900e+02
2.7195e-08,7.8176e-07,5.4000e+02
2.7121e-08,7.8313e-07,5.4100e+02
2.7049e-08,7.8451e-07,5.4200e+02
2.6975e-08,7.8591e-07,5.4300e+02
2.6903e-08,7.8732e-07,5.4400e+02
2.6829e-08,7.8874e-07,5.4500e+02
2.6757e-08,7.9016e-07,5.4600e+02
2.6686e-08,7.9159e-07,5.4700e+02
2.6614e-08,7.9302e-07,5.4800e+02
2.6543e-08,7.9446e-07,5.4900e+02
2.6471e-08,7.9589e-07,5.5000e+02
2.6400e-08,7.9732e-07,5.5100e+02
2.6330e-08,7.9874e-07,5.5200e+02
2.6261e-08,8.0016e-07,5.5300e+02
2.6190e-08,8.0156e-07,5.5400e+02
2.6121e-08,8.0296e-07,5.5500e+02
2.6052e-08,8.0434e-07,5.5600e+02
2.5983e-08,8.0571e-07,5.5700e+02
2.5913e-08,8.0707e-07,5.5800e+02
2.5844e-08,8.0842e-07,5.5900e+02
2.5777e-08,8.0976e-07,5.6000e+02
